Aar;Temp_forsommer;Temp_hoejsommer
1874;11.3;15.3
1875;12.8;15.6
1876;11.7;15.6
1877;11.7;15.3
1878;12.3;14.7
1879;11.6;14.1
1880;12.1;15.3
1881;11.9;14.7
1882;12.4;15.4
1883;12.6;15.7
1884;11.8;15.2
1885;11.2;14.9
1886;11.9;14.3
1887;11.9;15.3
1888;11.5;13.8
1889;16.0;17.0
1890;12.5;13.6
1891;12.0;15.3
1892;11.5;13.7
1893;12.4;15.5
1894;12.2;15.7
1895;13.3;14.9
1896;13.9;17.1
1897;13.4;16.0
1898;11.5;13.8
1899;12.3;16.0
1900;12.2;15.9
1901;12.7;16.3
1902;11.2;14.2
1903;12.9;15.0
1904;11.8;15.0
1905;13.7;16.5
1906;13.4;15.5
1907;11.5;13.6
1908;12.4;15.9
1909;10.9;13.9
1910;13.8;16.2
1911;13.5;15.4
1912;11.9;16.1
1913;12.7;14.9
1914;12.8;16.9
1915;12.0;14.6
1916;11.5;14.0
1917;14.0;16.8
1918;12.4;14.2
1919;12.6;14.4
1920;12.9;15.5
1921;13.2;14.9
1922;12.2;14.1
1923;9.8;13.7
1924;11.6;14.1
1925;13.1;16.1
1926;12.1;15.8
1927;9.9;14.2
1928;10.7;13.2
1929;11.5;13.7
1930;13.1;15.8
1931;12.4;14.1
1932;12.5;15.9
1933;13.5;16.7
1934;12.8;15.9
1935;12.5;15.7
1936;13.4;16.5
1937;13.4;15.8
1938;11.9;14.9
1939;13.0;15.9
1940;13.7;16.3
1941;11.9;16.7
1942;11.4;13.8
1943;13.3;15.7
1944;11.4;15.2
1945;12.8;15.8
1946;12.5;15.4
1947;15.0;16.9
1948;13.2;15.7
1949;12.7;15.6
1950;13.9;15.8
1951;12.5;15.1
1952;12.1;14.2
1953;14.1;16.6
1954;13.6;14.7
1955;11.0;15.7
1956;12.3;14.7
1957;12.2;15.6
1958;12.0;15.1
1959;13.4;16.5
1960;13.3;15.0
1961;12.9;14.9
1962;11.1;13.7
1963;13.0;15.5
1964;12.9;14.3
1965;11.7;14.0
1966;13.5;15.6
1967;12.4;15.2
1968;12.8;15.5
1969;12.4;16.0
1970;13.8;15.9
1971;12.4;14.7
1972;12.1;15.3
1973;12.6;16.1
1974;12.1;14.2
1975;12.3;15.4
1976;12.6;16.0
1977;12.8;15.0
1978;13.0;14.6
1979;12.1;13.8
1980;12.6;15.2
1981;12.8;14.3
1982;12.3;15.5
1983;12.2;15.6
1984;12.3;14.1
1985;12.3;14.5
1986;12.8;14.8
1987;10.4;13.1
1988;13.9;15.9
1989;13.2;15.8
1990;13.6;15.2
1991;10.6;14.6
1992;15.1;17.4
1993;13.3;14.0
1994;12.1;16.3
1995;12.0;15.7
1996;11.1;14.1
1997;12.4;16.3
1998;13.0;14.3
1999;12.2;15.5
2000;13.2;14.3
2001;12.1;15.1
2002;14.2;16.4
2003;13.6;17.0
2004;12.5;14.4
2005;12.5;15.7
2006;13.2;17.4
2007;13.8;15.9
2008;13.8;16.3
2009;12.7;15.6
2010;11.7;16.3
2011;13.3;15.8
2012;12.4;14.3
2013;13.1;15.7
2014;13.3;17.2
